,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
49,49.0,Norway,1426798,307.0,3006.0,10.0,,,,20.0,259463.0,547.0,11002430.0,2000793.0,5499035.0,4.0,1829.0,0.0,56.0,2.0,242741.0
50,50.0,Kazakhstan,1305551,3.0,13660.0,,1291101.0,12.0,790.0,24.0,68037.0,712.0,11575012.0,603215.0,19188852.0,15.0,1405.0,2.0,0.2,,41.0
51,51.0,Hong Kong,1205083,290.0,9325.0,7.0,,,,5.0,158384.0,1226.0,44972952.0,5910805.0,7608600.0,6.0,816.0,0.0,38.0,0.9,155420.0
52,52.0,Singapore,1202546,1570.0,1338.0,,1140531.0,,60677.0,5.0,202627.0,225.0,23767171.0,4004727.0,5934779.0,5.0,4436.0,0.0,265.0,,10224.0
53,53.0,Morocco,1165004,20.0,16069.0,,1148595.0,39.0,340.0,293.0,30891.0,426.0,11237010.0,297958.0,37713387.0,32.0,2347.0,3.0,0.5,,9.0
54,54.0,Bulgaria,1157919,720.0,36947.0,27.0,983414.0,4881.0,137558.0,75.0,168978.0,5392.0,9864292.0,1439521.0,6852481.0,6.0,185.0,1.0,105.0,4.0,20074.0
55,55.0,Croatia,1123578,549.0,15848.0,5.0,1103204.0,694.0,4526.0,21.0,276824.0,3905.0,4794945.0,1181365.0,4058818.0,4.0,256.0,1.0,135.0,1.0,1115.0
56,56.0,Cuba,1103395,109.0,8527.0,,1094057.0,179.0,811.0,23.0,97525.0,754.0,12920253.0,1141977.0,11313930.0,10.0,1327.0,1.0,10.0,,72.0
57,57.0,Lebanon,1097118,33.0,10392.0,1.0,1081770.0,,4956.0,186.0,162071.0,1535.0,4795578.0,708424.0,6769363.0,6.0,651.0,1.0,5.0,0.1,732.0
58,58.0,Lithuania,1058783,238.0,9108.0,2.0,1025983.0,1182.0,23692.0,30.0,399146.0,3434.0,8255055.0,3112041.0,2652618.0,3.0,291.0,0.0,90.0,0.8,8932.0
59,59.0,Tunisia,1040193,,28550.0,,,,,29.0,86355.0,2370.0,4572976.0,379640.0,12045560.0,12.0,422.0,3.0,,,-1198.12
60,60.0,Finland,1023013,,3939.0,,46000.0,,973074.0,24.0,184111.0,709.0,10720282.0,1929318.0,5556515.0,5.0,1411.0,1.0,,,175123.0
61,61.0,Slovenia,1011273,475.0,6598.0,3.0,991779.0,475.0,12896.0,22.0,486315.0,3173.0,2647759.0,1273290.0,2079462.0,2.0,315.0,1.0,228.0,1.0,6202.0
62,62.0,Belarus,980868,40.0,6954.0,3.0,928536.0,,45378.0,,103866.0,736.0,13172291.0,1394835.0,9443619.0,10.0,1358.0,1.0,4.0,0.3,4805.0
63,63.0,Nepal,978865,29.0,11951.0,,966697.0,23.0,217.0,,32522.0,397.0,5643648.0,187507.0,30098312.0,31.0,2518.0,5.0,1.0,,7.0
64,64.0,New Zealand,952697,9269.0,731.0,18.0,895772.0,6452.0,56194.0,,190459.0,146.0,7083851.0,1416175.0,5002100.0,5.0,6843.0,1.0,1853.0,4.0,11234.0
65,65.0,Bolivia,905097,23.0,21923.0,,859363.0,221.0,23811.0,220.0,75644.0,1832.0,2700878.0,225728.0,11965203.0,13.0,546.0,4.0,2.0,,1990.0
66,66.0,UAE,899242,209.0,2302.0,,882880.0,289.0,14060.0,,88949.0,228.0,156493149.0,15479526.0,10109686.0,11.0,4392.0,0.0,21.0,,1391.0
67,67.0,Uruguay,895775,,7197.0,,886654.0,,1924.0,18.0,256242.0,2059.0,6091188.0,1742419.0,3495823.0,4.0,486.0,1.0,,,550.0
68,68.0,Ecuador,869956,53.0,35598.0,,,,,759.0,47972.0,1963.0,2470170.0,136213.0,18134638.0,21.0,509.0,7.0,3.0,,21532.0
69,69.0,Costa Rica,857290,1032.0,8421.0,4.0,836721.0,742.0,12148.0,42.0,165517.0,1626.0,4291131.0,828486.0,5179483.0,6.0,615.0,1.0,199.0,0.8,2345.0
70,70.0,Guatemala,846785,153.0,17622.0,9.0,827077.0,265.0,2086.0,5.0,45714.0,951.0,4469600.0,241292.0,18523603.0,22.0,1051.0,4.0,8.0,0.5,113.0
71,71.0,Latvia,823110,384.0,5777.0,7.0,809733.0,,7600.0,8.0,445419.0,3126.0,7186387.0,3888855.0,1847944.0,2.0,320.0,0.0,208.0,4.0,4113.0
